2012/2
2012-09-10 00:58:04
sector_char;sector;campus;department;classification;academic_year;course_number;course_title;credit;class_time;location;instructor;quota;enrollment;essential_major;team_teaching;cyber;native;remark
B;대학원;서울;일어일문학과;전공;대학원;G07795101;와카문학세미나Ⅱ;3;화(7-3);6303;최충희;없음;29;;;;원어;석-박사
B;대학원;서울;일어일문학과;전공;대학원;G07720101;일본근대문학특강II;3;월(4-3);6307;최재철;없음;8;;;;원어;박사
B;대학원;서울;일어일문학과;전공;대학원;G07803101;일본근대시론세미나Ⅱ;3;목(4-3);6303;서재곤;없음;11;;;;원어;석-박사
B;대학원;서울;일어일문학과;전공;대학원;G07655101;일본소설연구I;3;월(7-3);6306;김용안;없음;10;;;;;석-박사
B;대학원;서울;일어일문학과;전공;대학원;G07756101;일본어경어론주제연구Ⅰ;3;목(7-3);6304;한미경;없음;16;;;;원어;석-박사
B;대학원;서울;일어일문학과;전공;대학원;G07741101;일본어구문론세미나Ⅱ;3;수(7-3);6303;정상철;없음;21;;;;원어;석-박사
B;대학원;서울;일어일문학과;전공;대학원;G07760101;일본어언어행동세미나Ⅰ;3;화(7-3);6304;김동규;없음;15;;;;원어;석-박사
B;대학원;서울;일어일문학과;전공;대학원;G07755101;일본어표현구조주제연구Ⅱ;3;월(7-3);6307;임팔용;없음;13;;;;원어;석-박사
B;대학원;서울;일어일문학과;전공;대학원;G07808101;일본어학세미나 X;3;금(1-3);6306;권경애;없음;4;;;;;박사
B;대학원;서울;일어일문학과;전공;대학원;G07809101;일본어학세미나 XI;3;목(4-3);6408;이인영;없음;14;;;;;박사
B;대학원;서울;일어일문학과;전공;대학원;G07612101;일본어형태론II;3;목(1-3);6409;박민영;없음;22;;;;;석-박사
B;대학원;서울;일어일문학과;전공;대학원;G07775101;일본중고문학세미나Ⅱ;3;화(1-3);6209;김종덕;없음;15;;;;원어;석-박사
A;학부;서울;영어교육과;전공;1학년;A01218401;영.미문학개론;2;수(7-3);2409;이윤주;40;26;;;;;1전공(1학년)
A;학부;서울;영어교육과;전공;1학년;E01209101;영어발음지도법;2;금(7-2);0225;Kyle Philip Devlin;40;37;;;;원어;1전공(1학년)
A;학부;서울;영어교육과;전공;1학년;A01123401;영어학개론(1);2;수(1-3);2401;조윤정(E);40;34;;;;;1전공(1학년)
A;학부;서울;영어교육과;전공;1학년;E01127301;전공영어2;3;수(5-2)/금(5-2);2208/2209;David A. Leaper;40;11;전필;;;원어;1전공(전학년)
A;학부;서울;영어교육과;전공;1학년;E01127302;전공영어2;3;수(5-2)/금(5-2);0338/0225;Kyle Philip Devlin;40;27;전필;;;원어;1전공(전학년)
A;학부;서울;영어교육과;전공;1학년;E01122101;초급영어독해연습;2;월(1-2);2508;김봉규;40;25;;;;;1전공(1학년)
A;학부;서울;영어교육과;전공;2학년;A01252101;FLEX영어2;2;목(3-2);2402;김나윤;30;20;;;;;1전공(2학년)
A;학부;서울;영어교육과;전공;2학년;E01311101;영어듣기및말하기지도법;2;화(5-2);2205;이길영;40;40;;;;원어;1전공(2학년)
A;학부;서울;영어교육과;전공;2학년;E01312101;영어읽기및쓰기지도법;2;목(5-2);2205;차경애;40;9;;;;원어;1전공(2학년)
A;학부;서울;영어교육과;전공;2학년;E01124101;중급영어독해연습;2;월(5-2);2506;정지혜;40;30;;;;원어;1전공(2학년)
A;학부;서울;영어교육과;전공;3학년;A01332201;고급영어작문;2;금(1-2);2404;Scott Smith;30;17;;;;원어;1전공, 2전공(3학년)
A;학부;서울;영어교육과;전공;3학년;E01356101;영.미문학과영어교육;2;월(1-2);2402;이윤주;40;36;;;;원어;1전공, 2전공(3학년)
A;학부;서울;영어교육과;전공;3학년;E01415101;영어교육실제연습;3;화(7-3);2404;정미라;40;28;;;;;1전공, 2전공(3,4학년)
A;학부;서울;영어교육과;전공;3학년;E01320201;영어교육현장실습;2;수(1-3);0221;이길영;30;25;;;;;1,2전공(3학년) 09학번부터 전공선택
A;학부;서울;영어교육과;전공;3학년;E01304501;영어교재연구및지도법;3;수(4-3);1302;김해동;60;29;전필;;;;1전공, 2전공(3학년)
A;학부;서울;영어교육과;전공;3학년;E01318101;영어학습평가;2;금(7-2);2209;David A. Leaper;40;16;;;;원어;1전공, 2전공(3학년)
A;학부;서울;영어교육과;전공;3학년;E01358101;영어학특강2;2;금(5-2);1405;조기석;40;33;;;;;1전공, 2전공(3학년)
A;학부;서울;영어교육과;전공;3학년;E01360101;웹활용영어교육;2;월(3-2);0117;이충현;40;12;;;;원어;1전공,2전공,부전공
A;학부;서울;영어교육과;전공;4학년;E01411101;ESP(실무영어);2;목(1-2);2404;김봉규;40;31;;;;원어;1전공, 2전공(4학년)
A;학부;서울;영어교육과;전공;4학년;E01458101;영.미문화지도법;2;목(5-2);2409;Andrew William Prosser;60;34;;;;원어;1전공, 2전공(4학년)
A;학부;서울;영어교육과;전공;4학년;E01414101;영어교육특강2;2;목(7-2);2205;차경애;40;8;;;;원어;1전공, 2전공(4학년)
A;학부;서울;영어교육과;이중(2,부);1학년;A01218402;영.미문학개론;2;월(7-3);2409;권오숙;40;17;;;;;1전공, 2전공(1학년)
A;학부;서울;영어교육과;이중(2,부);1학년;E01209102;영어발음지도법;2;금(1-2);2403;Andrew William Prosser;40;21;;;;원어;2전공
A;학부;서울;영어교육과;이중(2,부);1학년;A01123402;영어학개론(1);2;월(1-3);2404;조윤정(E);40;16;;;;;2전공
A;학부;서울;영어교육과;이중(2,부);1학년;E01122102;초급영어독해연습;2;금(5-2);2404;윤서영;40;14;;;;;2전공
A;학부;서울;영어교육과;이중(2,부);2학년;E01311102;영어듣기및말하기지도법;2;수(3-2);2204;윤현숙;40;12;;;;원어;2전공
A;학부;서울;영어교육과;이중(2,부);2학년;E01312102;영어읽기및쓰기지도법;2;수(5-2);1203;임현우;40;16;;;;원어;2전공
A;학부;서울;영어교육과;이중(2,부);2학년;E01124102;중급영어독해연습;2;금(3-2);2404;윤서영;40;25;;;;원어;2전공
A;학부;서울;영어교육과;이중(2,부);3학년;E01304502;영어교재연구및지도법;3;화(4-3);1306;김현정;60;11;;;;원어;2전공
B;대학원;서울;법학과;전공;대학원;G42619101;국제법특수연구;3;수(7-3);5802;김선표;없음;5;;;;;석-박사
B;대학원;서울;법학과;전공;대학원;G42502101;기본권연구;3;수(4-3);5802;변해철;없음;6;;;;;석-박사
B;대학원;서울;법학과;전공;대학원;G42656101;노동쟁의조정법론;3;화(7-3);5402;이정;없음;11;;;;;석-박사
B;대학원;서울;법학과;전공;대학원;G42511101;민법일반이론;3;목(7-3);5402;김성천;없음;14;;;;;석-박사
B;대학원;서울;법학과;전공;대학원;G42745101;지적재산권법사례연구;3;화(1-3);5802;최철;없음;14;;;;;석-박사
B;대학원;서울;법학과;전공;대학원;G42606101;행정법특수연구;3;금(4-3);5802;김기재;없음;7;;;;;석-박사
B;대학원;서울;법학과;전공;대학원;G42652101;현대계약법;3;금(7-3);5802;이병준;없음;11;;;;;석-박사
B;대학원;서울;법학과;전공;대학원;G42507101;형법일반이론;3;금(1-3);5402;이훈동;없음;16;;;;;석-박사
B;대학원;서울;법학과;전공;대학원;G42137101;회사법특수문제연구;3;월(7-3);5802;최완진;없음;9;;;;;석-박사
A;학부;서울;동북아전공;이중(제2);2학년;B21004101;동북아지역시사문제의이해2;2;월(5-2);1506;김경옥(63);60;19;;;;;
A;학부;서울;동북아전공;이중(제2);2학년;B21002101;동북아지역역사문화의이해;3;월(1-3);3506;김성민;60;20;;팀티칭;;;
A;학부;서울;동북아전공;이중(제2);3학년;B21015101;동북아사상교류론;2;수(3-2);3507;유인경;60;21;;;;;
A;학부;서울;동북아전공;이중(제2);3학년;B21014101;동북아지역국제교류;2;금(3-2);1208;최미옥;60;18;;;;;
A;학부;서울;동북아전공;이중(제2);3학년;B21016101;동북아통상론;2;화(1-2);1202;이승영;60;16;;;;;
A;학부;서울;동북아전공;이중(제2);4학년;B21022101;동북아각국기업문화의이해;2;목(1-2);1208;제정조;60;11;;;;;
A;학부;서울;동북아전공;이중(제2);4학년;B21019101;동북아영토분쟁사례연구;2;수(5-2);0118;박병인;60;14;;;;;
A;학부;서울;동북아전공;이중(제2);4학년;B21021101;한.중.일생활문화비교;2;수(1-2);1304;서만식;60;19;;;;;
H;국제지역대학원;서울;중남미학과;전필;대학원;A09066101;라틴아메리카특강VISpecial Lectures on Latin America VI;P;수(4-3);8101;김원호;없음;22;;;;원어;석-박사
H;국제지역대학원;서울;중남미학과;전공;대학원;A09029101;라틴아메리카 정치세미나Seminar on Latin American Politics;3;화(4-3);8111;김유경;20;3;;;;원어;석-박사
H;국제지역대학원;서울;중남미학과;전공;대학원;A09070101;라틴아메리카국제정치론The International Relations of Latin America;3;월(4-3);8110;하상섭;20;7;;;;원어;석-박사
H;국제지역대학원;서울;중남미학과;전공;대학원;A09024101;라틴아메리카문화와정체성Culture and Identity in Latin America;3;목(4-3);8104;정경원;20;8;;;;원어;석-박사
H;국제지역대학원;서울;중남미학과;전공;대학원;A09071101;라틴아메리카의사회계층과하위문화Social Class and Subcultures in Latin America;3;월(1-3);8105;양은미;20;4;;;;원어;석-박사
H;국제지역대학원;서울;중남미학과;전공;대학원;B00101101;라틴아메리카정책학Policy and Development in Latin America;3;수(1-3);8203;김원호;20;11;;;;원어;석-박사
H;국제지역대학원;서울;중남미학과;전공;대학원;A09058101;라틴아메리카컨트리리스크분석Latin American Country Risk Analysis;3;화(7-3);8113;김영석;20;0;;;;원어;석-박사
H;국제지역대학원;서울;중남미학과;전공;대학원;A09037101;멕시코연구Mexican Studies;3;월(7-3);8109;조영현;20;4;;;;원어;석-박사
H;국제지역대학원;서울;중남미학과;전공;대학원;A09025101;브라질경제발전론Economic Development in Brazil;3;수(7-3);8113;권기수;20;12;;;;원어;석-박사
A;학부;서울;경영학부;전공;1학년;D03103101;경영통계학;3;수(1-2)/금(8-1);3106/3106;이명호;0;45;전필;;;;12학번 임의배정
A;학부;서울;경영학부;전공;1학년;D03103102;경영통계학;3;화(1-3);3508;Wan LiLi;0;52;전필;;;원어;12학번 임의배정
A;학부;서울;경영학부;전공;1학년;D03103103;경영통계학;3;목(4-3);3301;Wan LiLi;0;50;전필;;;원어;12학번 임의배정
A;학부;서울;경영학부;전공;1학년;D03103108;경영통계학;3;금(4-3);3508;김의하;60;75;전필;;;;
A;학부;서울;경영학부;전공;1학년;D01203301;경영학원론;3;화(1-3);3301;송일;60;50;전필;;;;
A;학부;서울;경영학부;전공;1학년;D01203302;경영학원론;3;화(10-3);3401;Xiao Shufeng;60;16;전필;;;원어;
A;학부;서울;경영학부;전공;1학년;D01100101;경제학원론;3;금(1-3);3308;최영석;60;79;전필;;;;
A;학부;서울;경영학부;전공;1학년;D01100102;경제학원론;3;금(7-3);3308;최영석;60;62;전필;;;;
A;학부;서울;경영학부;전공;1학년;D01205601;회계원리;3;월(1-3);3408;고윤성;0;48;전필;;;;12학번 임의배정
A;학부;서울;경영학부;전공;1학년;D01205602;회계원리;3;화(7-3);3301;박석구;0;42;전필;;;;12학번 임의배정
A;학부;서울;경영학부;전공;1학년;D01205603;회계원리;3;월(7-3);3301;조장연;0;51;전필;;;;12학번 임의배정
A;학부;서울;경영학부;전공;1학년;D01205610;회계원리;3;목(1-3);3408;남기석;60;53;전필;;;원어;
A;학부;서울;독일어과;전공;1학년;A03143101;독일어연습1;6;월(7-2)/수(3-4)/금(5-2);B1-14/B2-19/B2-19;Ariane Mun-Hi Schmidt;20;20;;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03144101;독일어연습2;6;월(3-2)/수(5-4)/금(1-2);1308/1308/1308;정민영;20;20;;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03144102;독일어연습2;6;월(1-4)/수(7-2)/금(3-2);B2-19/B2-19/B2-19;Florian Wessels;20;17;;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03144103;독일어연습2;6;월(3-2)/수(7-2)/금(3-4);B2-20/B2-20/B2-20;Florian Wessels;20;16;;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03144104;독일어연습2;6;월(3-4)/수(7-2)/금(5-2);1310/1310/1310;유덕근;20;19;;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03144105;독일어연습2;6;수(5-4)/목(3-2)/금(1-2);B1-14/1604/B1-14;Ariane Mun-Hi Schmidt;20;15;;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03144106;독일어연습2;6;월(3-2)/화(5-2)/수(7-2)/목(5-2);B1-14/B1-14/B2-21/B1-13;Ariane Mun-Hi Schmidt;20;20;;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03104101;독일언어와사고;2;화(7-2);2204;조국현;30;30;;팀티칭;;;독일어교육과교류
A;학부;서울;독일어과;전공;1학년;A03110101;활용독일어1;3;화(5-2)/목(7-2);2501-1/2501-1;임병희;20;20;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03109201;활용독일어2;3;월(5-2)/수(3-2);2205/2205;김형래(G);20;20;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03109202;활용독일어2;3;월(5-2)/금(7-2);2502-2/2501-2;방경원;20;20;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03109203;활용독일어2;3;월(5-2)/금(1-2);B2-19/B2-19;이완호;20;20;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03109204;활용독일어2;3;월(5-2)/수(3-2);B1-14/B1-12;서은주;20;20;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03109205;활용독일어2;3;월(5-2)/금(1-2);2201/1202;김해생;20;15;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;1학년;A03109206;활용독일어2;3;월(5-2)/목(7-2);2105/2501-2;김요한;20;20;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03473201;고급독일어읽기1;3;화(3-2)/수(7-2);2208/B1-13;Florian Wessels;20;20;;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03474201;고급독일어읽기2;3;화(7-2)/수(5-2);2210/2210;장은수;20;12;전필;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03474202;고급독일어읽기2;3;화(7-2)/수(3-2);2501-1/2105;김형래(G);20;16;전필;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03474203;고급독일어읽기2;3;화(7-2)/수(7-2);B1-12/B1-12;Anja Scherpinski;20;19;전필;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03474204;고급독일어읽기2;3;화(7-2)/수(3-2);B1-13/B1-13;Anja Scherpinski;20;20;전필;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03474205;고급독일어읽기2;3;화(7-2)/수(3-2);1310/2203;Kneider Hans Alexander;20;20;전필;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03145101;독일어연습3;6;월(3-2)/화(3-4)/목(3-2);B2-19/B2-19/B2-19;Ariane Mun-Hi Schmidt;20;19;;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03146101;독일어연습4;6;월(3-4)/목(3-2)/금(1-2);2403/2202/2202;조국현;20;20;전필;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03146102;독일어연습4;6;월(7-2)/화(1-2)/목(5-4);B1-13/B1-13/B2-19;Anja Scherpinski;20;20;전필;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03146103;독일어연습4;6;월(3-4)/목(1-4);B2-21/B2-21;Thea Stiehler;20;20;전필;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;2학년;A03146104;독일어연습4;6;월(1-4)/금(1-4);B2-20/B2-20;Thea Stiehler;20;19;전필;팀티칭;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;3학년;A03386101;독일명작산책;2;화(3-2);2204;김충남;30;28;;;;;독일어교육과교류
A;학부;서울;독일어과;전공;3학년;A03304301;독일문학사2;2;수(7-2);2210;장은수;30;21;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;3학년;A03398101;독일문학입문2;2;화(7-2);2203;정민영;30;20;;;;;독일어교육과교류
A;학부;서울;독일어과;전공;3학년;A03328101;독일문화의이해2;2;수(3-2);2210;장은수;30;28;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;3학년;A03384101;독일어쓰기2;2;화(5-2);01202;Kneider Hans Alexander;30;30;;;;원어;독일어교육과교류
A;학부;서울;독일어과;전공;3학년;A03360101;독일어조어론;2;수(5-2);1404;유덕근;30;29;;;;;독일어교육과교류
A;학부;서울;독일어과;전공;3학년;A03318301;독일어학개론2;2;월(3-2);2207;조국현;30;20;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;3학년;A03306101;독일지역사정(경제);2;월(1-2);2403;방경원;30;30;;;;;독일어교육과교류
A;학부;서울;독일어과;전공;3학년;A03392101;전공FLEX독일어2;2;금(3-2);2402;강병창;30;29;;;;;독일어교육과수강금지
A;학부;서울;독일어과;전공;3학년;A03390101;전공영상독일어2;2;월(5-2);2403;Anja Scherpinski;30;29;;;;원어;독일어교육과교류
A;학부;서울;독일어과;전공;3학년;A03320101;한.독번역연습;2;화(3-1)/목(5-2);1311/1311;Kneider Hans Alexander;30;11;;;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;4학년;A03333101;독일어통역연습2;2;목(3-2);2405;최경인;30;9;;;;원어;독일어교육과수강금지
A;학부;서울;독일어과;전공;4학년;A03379301;독일어화용론;2;목(3-2);2201;홍승우;30;28;;;;;독일어교육과교류
A;학부;서울;독일어과;전공;4학년;A03489101;독일영화분석;2;목(7-2);2506;김형래(G);30;30;;;;;독일어교육과교류
A;학부;서울;독일어과;전공;4학년;A03470101;독일지역사정(문화);2;목(7-2);2402;Florian Wessels;30;18;;;;원어;독일어교육과교류
A;학부;서울;독일어과;전공;4학년;A03334101;독일최근작가론;2;수(3-2);1305;정민영;30;15;;;;;독일어교육과교류
A;학부;서울;독일어과;전공;4학년;A03472101;시사독일어2;2;월(7-2);1305;유덕근;30;13;;;;원어;독일어교육과교류
B;대학원;서울;공통선택과목(전체대상);전공;대학원;G00001102;논문지도I;P;;;;없음;205;;;;;
B;대학원;서울;공통선택과목(전체대상);전공;대학원;G00002101;논문지도II;P;;;;없음;72;;;;;
B;대학원;서울;공통선택과목(전체대상);공통;대학원;G61722102;수사학과번역철학;3;금(4-3);6308;김종대;없음;2;;;;;석-박사
B;대학원;서울;공통선택과목(전체대상);공통;대학원;G61719101;이미지와상상력;3;목(1-3);6306;이정욱;없음;7;;;;;석-박사
B;대학원;서울;공통선택과목(전체대상);공통;대학원;G61594102;철학, 문학 그리고 비평;3;금(7-3);6308;변광배;없음;7;;;;;석-박사
B;대학원;서울;공통선택과목(전체대상);공통;대학원;G61717101;학문과방법;3;목(7-3);6306;구연상;없음;5;;;;;석-박사
B;대학원;서울;공통선택과목(전체대상);공통;대학원;G61718101;현대예술/미학의 동향;3;금(4-3);6303;인원근;없음;2;;;;;석-박사
A;학부;서울;프랑스어교육과;전공;1학년;A02148201;초급프랑스어강독(2);4;월(7-2)/수(5-2);2204/2405;이종오;30;29;;;;;프랑스어과 수강금지
A;학부;서울;프랑스어교육과;전공;1학년;A02150201;초급프랑스어회화(2);4;월(3-2)/수(1-2)/금(2-1);1311/1311/1311;Marianne Milhaud;20;7;;;;원어;프랑스어과 수강금지
A;학부;서울;프랑스어교육과;전공;1학년;A02150202;초급프랑스어회화(2);4;월(5-1)/수(1-2)/금(3-2);1311/1310/1310;Barresi Guillaume;20;18;;;;원어;프랑스어과 수강금지
A;학부;서울;프랑스어교육과;전공;1학년;E02114101;프랑스어연습(2);1;금(7-2);2404;임계영;40;6;;;;;프랑스어과 수강금지
A;학부;서울;프랑스어교육과;전공;2학년;E02202101;불문독해연습2;2;화(7-2);2402;변광배;40;12;;;;;프랑스어과 수강금지
A;학부;서울;프랑스어교육과;전공;2학년;A02216501;중급프랑스어강독(2);4;화(5-2)/목(5-2);0225/0225;오시근;30;29;전필;;;;프랑스어과 수강금지
A;학부;서울;프랑스어교육과;전공;2학년;A02218201;중급프랑스어회화(2);2;월(6-1)/목(1-2);1311/1311;Marianne Milhaud;20;12;전필;;;원어;프랑스어과 수강금지
A;학부;서울;프랑스어교육과;전공;2학년;A02218202;중급프랑스어회화(2);2;화(1-2)/목(7-1);1311/1311;Raphanel Jacques;20;17;전필;;;원어;프랑스어과 수강금지
A;학부;서울;프랑스어교육과;전공;2학년;A02214201;프랑스어작문(2);2;목(3-2);1208;이종오;30;13;;;;;프랑스어과 수강금지
A;학부;서울;프랑스어교육과;전공;3학년;A02459301;20세기프랑스문학;2;금(5-2);0330;오시근;60;12;;;;;프랑스어과 수강금지
