2012/S
2012-07-25 14:58:22
sector_char;sector;campus;department;classification;academic_year;course_number;course_title;credit;class_time;location;instructor;quota;enrollment;essential_major;team_teaching;cyber;native;remark
A;학부;서울;경영학부;전공;1학년;D03103101;경영통계학;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);3301/3301/3301/3301/3301;구지현;90;43;전필;;;;(글로벌)국제경영학과,경영정보학과 전공인정
A;학부;서울;경영학부;전공;1학년;D03103102;경영통계학;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);3301/3301/3301/3301/3301;구지현;90;44;전필;;;;(글로벌)국제경영학과,경영정보학과 전공인정
A;학부;서울;경영학부;전공;1학년;D01203301;경영학원론;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);3408/3408/3408/3408/3408;임현원;90;57;전필;;;;(글로벌)국제경영학과,경영정보학과 전공인정
A;학부;서울;경영학부;전공;1학년;D01203302;경영학원론;3;월(7-3)/화(7-3)/수(7-3)/목(7-3)/금(7-3);3308/3308/3308/3308/3308;이성준(용인교양);90;21;전필;;;;(글로벌)국제경영학과,경영정보학과 전공인정
A;학부;서울;경영학부;전공;1학년;D01100101;경제학원론;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);3401/3401/3401/3401/3401;최영석;90;69;전필;;;;(글로벌)국제경영학과,경영정보학과 전공인정
A;학부;서울;경영학부;전공;1학년;D01100102;경제학원론;3;월(7-3)/화(7-3)/수(7-3)/목(7-3)/금(7-3);3401/3401/3401/3401/3401;최영석;90;35;전필;;;;(글로벌)국제경영학과,경영정보학과 전공인정
A;학부;서울;경영학부;전공;1학년;D01205601;회계원리;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);3408/3408/3408/3408/3408;이진훤;90;69;전필;;;;(글로벌)국제경영학과,경영정보학과 전공인정
A;학부;서울;경영학부;전공;1학년;D01205602;회계원리;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);3406/3406/3406/3406/3406;곽지영;90;27;전필;;;;(글로벌)국제경영학과,경영정보학과 전공인정
A;학부;서울;경영학부;전공;1학년;D01205603;회계원리;3;월(7-3)/화(7-3)/수(7-3)/목(7-3)/금(7-3);1401/1401/1401/1401/1401;윤성용;90;49;전필;;;;(글로벌)국제경영학과,경영정보학과 전공인정
A;학부;서울;일본학부;전공;1학년;B02876101;일본문화여행;3;;;박용구;40;35;;;사이버;;교류대생 수강금지
A;학부;서울;영어교육과;전공;2학년;A01251101;FLEX영어1;2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);1211/1211/1211/1211/1211;김나윤;50;33;;;;;(글로벌)영어통번역학부  전공인정
A;학부;서울;법학과;전공;1학년;G01122101;헌법1;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);5003/5003/5003/5003/5003;문혁철;60;18;전필;;;;
A;학부;서울;법학과;전공;3학년;G01317101;형사소송법;3;월(7-3)/화(7-3)/수(7-3)/목(7-3)/금(7-3);5001/5001/5001/5001/5001;김현수;60;32;전필;;;;
A;학부;서울;법학과;전공;3학년;G01303101;회사법;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);5001/5001/5001/5001/5001;박한성;60;41;전필;;;;
A;학부;서울;법학과;전공;4학년;G01310101;친족상속법;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);5001/5001/5001/5001/5001;강승묵;60;39;전필;;;;
A;학부;서울;중국학부;전공;1학년;B01135101;중국역사;2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);0329/0329/0329/0329/0329;문승용;60;29;;;;;
A;학부;서울;중국학부;전공;1학년;B01133101;현대중국의이해;2;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);1303/1303/1303/1303/1303;이홍규(C);60;36;;;;;
A;학부;서울;중국학부;전공;2학년;O01301301;FLEX중국어(1);2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);1210/1210/1210/1210/1210;이은경( C );60;29;;;;원어;
A;학부;서울;중국학부;전공;2학년;B01241101;중국고문기초(1);2;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);1405/1405/1405/1405/1405;정호준;60;26;;;;;
A;학부;서울;중국학부;전공;2학년;B01203401;중국어문법작문(1);2;월(7-2)/화(7-2)/수(7-2)/목(7-2)/금(7-2);1210/1210/1210/1210/1210;박재승;60;20;;;;원어;
A;학부;서울;사학과;사철;학년;U76256101;논리와비판적사고;2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);1404/1404/1404/1404/1404;김명순;70;19;;;;;
A;학부;서울;사학과;사철;학년;U51108101;신화와종교;2;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);2407/2407/2407/2407/2407;조명동;70;34;;;;;
L;법학전문대학원;서울;법학전문대학원;선(이)지;1학년;L3A001102;미국법;2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);5601/5601/5601/5601/5601;김봉철;없음;34;;;;원어;
A;학부;서울;건강과레포츠;건강;학년;U76309101;여가문화와생활;2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);1302/1302/1302/1302/1302;양재봉;50;15;;팀티칭;;;
A;학부;서울;건강과레포츠;건강;학년;U76106101;체육(요가);1;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);1210/1210/1210/1210/1210;김주연;30;18;;;;;
A;학부;서울;건강과레포츠;건강;학년;U71857101;체육(휘트니스);1;월(7-2)/화(7-2)/수(7-2)/목(7-2)/금(7-2);1208/1208/1208/1208/1208;원유미;30;9;;;;;
A;학부;서울;국제통상학과;전공;1학년;D01101101;경제학원론(1);3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);3305/3305/3305/3305/3305;민병길;60;29;전필;;;;(글로벌)경영정보학과 전공인정
A;학부;서울;국제통상학과;전공;1학년;D01102901;경제학원론(2);3;월(5-3)/화(5-3)/수(5-3)/목(5-3)/금(5-3);3305/3305/3305/3305/3305;연제호;60;48;전필;;;;(글로벌)경영정보학과 전공인정
A;학부;서울;과학과기술;과기;학년;U71849101;영화속의첨단과학;2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);1406/1406/1406/1406/1406;정승권;70;19;;;;;
A;학부;서울;과학과기술;과기;학년;U51417201;우주와인간;2;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);2207/2207/2207/2207/2207;정영진;70;21;;;;;
A;학부;서울;과학과기술;과기;학년;U76307101;컴퓨터활용;2;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);1206/1206/1206/1206/1206;한광덕;40;33;;;;;
A;학부;서울;한국학;한국학;학년;E03109201;한국근.현대사;2;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);1307/1307/1307/1307/1307;이세진;70;21;;;;;
A;학부;서울;한국학;한국학;학년;U71871101;한국의역사;2;월(7-2)/화(7-2)/수(7-2)/목(7-2)/금(7-2);1307/1307/1307/1307/1307;이경미;70;18;;;;;
A;학부;서울;영문학과;전공;1학년;A01118401;영.미단편소설;3;월(7-3)/화(7-3)/수(7-3)/목(7-3)/금(7-3);1202/1202/1202/1202/1202;이영심;40;24;;;;;(글로벌)영어통번역학부  전공인정
A;학부;서울;영문학과;전공;2학년;A01617101;English Writing;2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);2204/2204/2204/2204/2204;Brooke Allan Carlson;40;23;;;;원어;
A;학부;서울;영문학과;전공;2학년;A01231201;영.미문학번역;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);2203/2203/2203/2203/2203;김소연;40;21;;;;;(글로벌)영어통번역학부  전공인정
A;학부;서울;영문학과;전공;2학년;A01168101;영산문;2;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);2205/2205/2205/2205/2205;도해자;40;26;;;;원어;(글로벌)영어통번역학부  전공인정
