2012/W
2012-11-07 02:37:50
sector_char;sector;campus;department;classification;academic_year;course_number;course_title;credit;class_time;location;instructor;quota;enrollment;essential_major;team_teaching;cyber;native;remark
A;학부;서울;건강과레포츠;건강;학년;U76309101;여가문화와생활;2;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);////;양재봉;60;0;;팀티칭;;;
A;학부;서울;건강과레포츠;건강;학년;U76310101;운동과체형관리;2;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);////;이상호(체육);40;0;;;;;
A;학부;서울;건강과레포츠;건강;학년;U51512101;체육(야영생활과리더쉽);1;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);////;김태영;40;0;;;;;
A;학부;서울;건강과레포츠;건강;학년;U72242301;체육(필라테스);1;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);////;김주연;30;0;;;;;
A;학부;서울;건강과레포츠;건강;학년;U71857101;체육(휘트니스);1;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);////;원유미;25;0;;;;;
A;학부;서울;경영학전공;전공;2학년;D01405401;마케팅관리;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);////;이재진;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;2학년;D01405402;마케팅관리;3;월(7-3)/화(7-3)/수(7-3)/목(7-3)/금(7-3);////;서옥순;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;2학년;D01405403;마케팅관리;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);////;유복희;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;2학년;D03451201;소비자행동론;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);////;김영성;90;0;;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;2학년;D03451202;소비자행동론;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);////;하지영;90;0;;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;2학년;D03210101;운영관리;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);////;박만웅;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;2학년;D01311201;재무관리;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);////;박남희;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;2학년;D01311202;재무관리;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);////;이포상;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;2학년;D03205201;재무회계(1);3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);////;이진훤;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;2학년;D01313101;조직행위론;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);////;이우원;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;3학년;P04205201;경영정보학개론;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);////;박창준;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;3학년;P04205202;경영정보학개론;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);////;채미혜;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;3학년;D01305101;국제경영론;3;월(7-3)/화(7-3)/수(7-3)/목(7-3)/금(7-3);////;정갑연;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;3학년;D01305102;국제경영론;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);////;;90;0;전필;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;3학년;D01406201;국제마케팅;3;월(7-3)/화(7-3)/수(7-3)/목(7-3)/금(7-3);////;이혜리;90;0;;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;3학년;D01406202;국제마케팅;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);////;김미정;90;0;;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;3학년;D03389101;브랜드전략;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);////;류정혜;90;0;;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;3학년;D03382201;인적자원관리;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);////;민근홍;90;0;;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;4학년;D03456101;마케팅전략;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);////;고성훈;90;0;;;;원어;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;경영학전공;전공;4학년;D03498101;서비스마케팅;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);////;최선경(IB);90;0;;;;;(글로벌)국제경영학과, 경영정보학과  전공인정
A;학부;서울;영어학과;전공;1학년;A01125101;명문영어강독;2;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);////;정인식(E);40;0;;;;;
A;학부;서울;영어학과;전공;1학년;A01199101;실용영어문법;2;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);////;김지인;40;0;;;;;영어문법(1)재수강과목,(글로벌)영어통번역전공인정
A;학부;서울;영어학과;전공;1학년;A01195101;영어다독(1);2;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);////;이기택;40;0;;;;;
A;학부;서울;영어학과;전공;1학년;A01196101;영어다독(2);2;월(7-2)/화(7-2)/수(7-2)/목(7-2)/금(7-2);////;윤일승;40;0;;;;;
A;학부;서울;영어학과;전공;1학년;A01160101;영어작문(2);2;월(7-2)/화(7-2)/수(7-2)/목(7-2)/금(7-2);////;오미숙;40;0;;;;;(글로벌)영어통번역학부 전공인정
A;학부;서울;영어학과;전공;2학년;A01126101;고급명문영어강독;2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);////;조윤정(E);40;0;;;;;
A;학부;서울;영어학과;전공;2학년;A01127101;고급영어문법(1);2;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);////;윤영옥;40;0;;;;;영어문법(2)재수강과목
A;학부;서울;영어학과;전공;2학년;A01128101;고급영어문법(2);2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);////;오승태;40;0;;;;;
